"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2025","25,290.0","25,340.0","25,342.5","25,282.5","","0.12%"
"02/06/2025","25,260.0","25,165.0","25,275.0","25,147.5","","0.46%"
"02/05/2025","25,145.0","25,195.0","25,195.0","25,115.0","","-0.06%"
"02/04/2025","25,160.0","25,280.0","25,282.5","25,160.0","","-0.47%"
"02/03/2025","25,280.0","25,025.0","25,355.0","25,025.0","","0.88%"
"01/31/2025","25,060.0","25,060.0","25,060.0","25,060.0","","0.00%"
"01/30/2025","25,060.0","25,060.0","25,060.0","25,060.0","","0.00%"
"01/29/2025","25,060.0","25,060.0","25,060.0","25,060.0","","0.00%"
"01/28/2025","25,060.0","25,060.0","25,060.0","25,060.0","","0.00%"
"01/27/2025","25,060.0","25,060.0","25,060.0","25,060.0","","0.00%"
"01/24/2025","25,060.0","25,130.0","25,142.5","25,025.0","","-0.08%"
"01/23/2025","25,080.0","25,050.0","25,157.5","25,005.0","","0.12%"
"01/22/2025","25,050.0","25,255.0","25,270.0","25,075.0","","-0.83%"
"01/21/2025","25,260.0","25,295.0","25,315.0","25,245.0","","-0.22%"
"01/20/2025","25,315.0","25,330.0","25,380.5","25,280.0","","0.00%"
"01/17/2025","25,315.0","25,355.0","25,385.0","25,318.5","","-0.22%"
"01/16/2025","25,370.0","25,387.5","25,388.5","25,372.5","","-0.02%"
"01/15/2025","25,375.0","25,385.0","25,394.0","25,382.0","","-0.02%"
"01/14/2025","25,380.0","25,395.0","25,400.0","25,375.0","","-0.04%"
"01/13/2025","25,390.0","25,375.0","25,433.5","25,370.0","","0.12%"
"01/10/2025","25,360.0","25,382.5","25,385.0","25,367.5","","-0.06%"
"01/09/2025","25,375.0","25,382.5","25,389.0","25,375.0","","0.02%"
"01/08/2025","25,370.0","25,385.0","25,395.0","25,376.0","","0.04%"
"01/07/2025","25,360.0","25,390.5","25,422.5","25,362.5","","-0.04%"
"01/06/2025","25,370.0","25,390.0","25,455.0","25,375.0","","-0.12%"
"01/03/2025","25,400.0","25,460.0","25,462.5","25,422.5","","-0.20%"
"01/02/2025","25,450.0","25,460.0","25,485.0","25,446.5","","-0.12%"
"01/01/2025","25,480.0","25,480.0","25,480.0","25,480.0","","0.00%"
"12/31/2024","25,480.0","25,495.0","25,512.5","25,446.5","","0.02%"
"12/30/2024","25,476.0","25,446.5","25,485.5","25,444.0","","0.12%"
"12/27/2024","25,445.0","25,445.0","25,456.5","25,425.0","","0.08%"
"12/26/2024","25,425.0","25,420.0","25,451.0","25,420.0","","0.02%"
"12/25/2024","25,420.0","25,437.5","25,455.0","25,415.0","","-0.02%"
"12/24/2024","25,425.0","25,450.0","25,465.0","25,432.5","","-0.06%"
"12/23/2024","25,440.0","25,440.0","25,465.0","25,425.5","","-0.02%"
"12/20/2024","25,445.0","25,465.0","25,467.5","25,450.0","","-0.02%"
"12/19/2024","25,450.0","25,465.0","25,469.0","25,450.0","","0.02%"
"12/18/2024","25,445.0","25,445.0","25,457.5","25,395.0","","0.06%"
"12/17/2024","25,430.0","25,392.5","25,440.0","25,346.5","","0.18%"
